iter	Logloss
0	0.6774185423
1	0.6629414634
2	0.6487645548
3	0.6369393162
4	0.6247225161
5	0.6100391206
6	0.5997029057
7	0.5880679176
8	0.5766628205
9	0.5645230409
10	0.5538029746
11	0.5421158725
12	0.5336457914
13	0.5235292949
14	0.515161706
15	0.505364191
16	0.4955952155
17	0.4851047576
18	0.4759282914
19	0.4666338724
20	0.4580147557
21	0.4483573147
22	0.4400881813
23	0.4321111447
24	0.425787628
25	0.4185857218
26	0.4125940232
27	0.4059855547
28	0.4018547825
29	0.3952823619
30	0.3892148538
31	0.3826400918
32	0.3764747741
33	0.3706752636
34	0.3649361827
35	0.3615677445
36	0.3565343221
37	0.3515132117
38	0.3465409455
39	0.3415030828
40	0.3368507264
41	0.3332241603
42	0.3295829006
43	0.3260793333
44	0.3213503802
45	0.3168245749
46	0.313465623
47	0.3088513127
48	0.3056488037
49	0.302048335
50	0.2982772746
51	0.2943925202
52	0.2909459916
53	0.2875064668
54	0.2839441854
55	0.2813670648
56	0.2775272995
57	0.2748398957
58	0.2713448661
59	0.2685110506
60	0.2652125687
61	0.2623433915
62	0.2592032902
63	0.2564969946
64	0.2535905384
65	0.251204637
66	0.2483002597
67	0.2454931875
68	0.2426747519
69	0.2398005894
70	0.2374884187
71	0.2346247113
72	0.2324380421
73	0.2311828654
74	0.2285289058
75	0.2263851469
76	0.2238862578
77	0.2218335066
78	0.2203091011
79	0.2192196316
80	0.2174068229
81	0.2154967293
82	0.2138644022
83	0.2121120836
84	0.2104159562
85	0.2084560293
86	0.2072681649
87	0.2052323276
88	0.2037294378
89	0.2023908222
90	0.2011212949
91	0.1998159015
92	0.198246749
93	0.1970865966
94	0.195582193
95	0.1939005776
96	0.1919612985
97	0.1907883901
98	0.1893633081
99	0.1874616108
100	0.1858091809
101	0.1842586982
102	0.1827977095
103	0.181140718
104	0.1797330745
105	0.1787674313
106	0.1774620985
107	0.1764629505
108	0.1752993064
109	0.1740957189
110	0.1730336184
111	0.1720489018
112	0.1712894137
113	0.1699493045
114	0.1686167742
115	0.1676944955
116	0.1667452212
117	0.1656952207
118	0.1647499024
119	0.1639271489
120	0.1630166473
121	0.1619174089
122	0.1611610191
123	0.160216387
124	0.1592560824
125	0.1580703978
126	0.1568020715
127	0.155968661
128	0.1551406699
129	0.1543818479
130	0.1533632026
131	0.1524625304
132	0.1516201685
133	0.1507340689
134	0.1496602114
135	0.1487512134
136	0.1478553853
137	0.1471084211
138	0.1461445844
139	0.1451811412
140	0.1445957567
141	0.1439891694
142	0.1429585048
143	0.1420951924
144	0.1412143808
145	0.1403913548
146	0.1399098048
147	0.1390237152
148	0.1384562336
149	0.1373939514
150	0.1366539607
151	0.1360355761
152	0.1352643513
153	0.1346028444
154	0.1339759928
155	0.1334750362
156	0.1328996224
157	0.132279169
158	0.1317803418
159	0.1312382007
160	0.1307416038
161	0.1301754442
162	0.1295344439
163	0.128806644
164	0.1283222279
165	0.1276978992
166	0.1271589976
167	0.1266091967
168	0.1261440661
169	0.1255091107
170	0.1249325868
171	0.1243464556
172	0.1238362348
173	0.1232468338
174	0.1227360983
175	0.1221296119
176	0.1216928088
177	0.1211570054
178	0.1206808443
179	0.1202317192
180	0.1197541454
181	0.1194171805
182	0.1188949908
183	0.1184230784
184	0.1180643758
185	0.1176779005
186	0.1173056951
187	0.1169317235
188	0.1163087169
189	0.1159134618
190	0.1153800601
191	0.114849575
192	0.1144595878
193	0.1140832447
194	0.1136657674
195	0.1130791316
196	0.112645568
197	0.1122664497
198	0.1117956575
199	0.11150768200	0.1090413869
201	0.1086461123
202	0.1082520633
203	0.1078371207
204	0.1073231144
205	0.1070499019
206	0.1067230216
207	0.1063275424
208	0.10602891
209	0.1055056102
210	0.105038162
211	0.1046534483
212	0.1042437832
213	0.1037637717
214	0.1032693185
215	0.1029201073
216	0.1026296706
217	0.1022696404
218	0.101825772
219	0.1013888403
220	0.1010784721
221	0.1006097468
222	0.10029251223223	0.099854224	0.1020622838
225	0.1016517878
226	0.1012998392
227	0.1010013117
228	0.100595679
229	0.100402765
230	0.1001026199
231	0.09974002901
232	0.09934631232	233	0.09906648233	234	0.09878707234	235	0.09847720235	0.09603561457
236	0.09583695492
237	0.09562923443
238	0.09528681404
239	0.09507721985
240	0.09474677229
241	0.09448788462
242	0.09434968367
243	0.09404320457
244	0.09373570023
245	0.0934590612
246	0.09316602385
247	0.09277459881
248	0.09256320331
249	0.09234077709
250	0.09206208237
251	0.09177767464
252	0.09145385935
253	0.09122194114
254	0.0909007726
255	0.09056730222
256	0.09026401299
257	0.09000643113
258	0.08962583746
259	0.08929273097
260	0.08900420376
261	0.08880256541
262	0.08864615134
263	0.263	0.084747264	0.264	0.0845156271
265	0.08416866625
266	0.08386336433
267	0.08356139269
268	0.08335832061
269	0.08298656423
270	0.08275883286
271	0.0825377873
272	0.08222516882
273	0.0820339546
274	0.0816131067
275	0.08121117082
276	0.08086772192
277	0.08058578249
278	0.0803309042
279	0.08008937735
280	0.07980069155
281	0.07957729965
282	0.07929777721
283	0.07912745299
284	0.07890489871
285	0.07860291193
286	0.07832524133
287	0.07805787445
288	0.07786996529
289	0.0774768244
290	0.0773078979
291	0.07710969007
292	0.07677716553
293	0.07650489908
294	0.07625557127
295	0.07602152749
296	0.07574417478
297	0.07553904902
298	0.07529597308
299	0.0750115107
300	0.07482036712
301	0.07464527453
302	0.07427286723
303	0.07417009747
304	0.07394403125
305	0.07381025446
306	0.07365522435
307	0.07353815957
308	0.07333312464
309	0.07308034039
310	0.07285320948
311	0.07254523827
312	0.07217230116
313	0.07193701608
314	0.07179516585
315	0.07145151007
316	0.07130078412
317	0.07104303471
318	0.07090010971
319	0.07068655226
320	0.07052013357
321	0.07027630074
322	0.07012299129
323	0.06993041467
324	0.06981596366
325	0.06961565674
326	0.06942997282
327	0.06915845316
328	0.06892034238
329	0.06873481488
330	0.06855732549
331	0.06831237248
332	0.06811715182
333	0.06771763797
334	0.06752249299
335	0.06737596522
336	0.06716150455
337	0.06705570221
338	0.06674375988
339	0.06650820233
340	0.06631208349
341	0.06614326295
342	0.06596305888
343	0.06579260851
344	0.06549042999
345	0.06525866191
346	0.0651367026
347	0.06500517628
348	0.06468468621
349	0.06446147596
350	0.06439447151
351	0.0642994472
352	0.06411566053
353	0.06394152667
354	0.063794131
355	0.06368861627
356	0.06348712356
357	0.06329549053
358	0.06305933756
359	0.06287303299
360	0.06263672359
361	0.06243883365
362	0.0622566314
363	0.06205980109
364	0.06189987142
365	0.06166879967
366	0.06160093237
367	0.06144524125
368	0.06124608983
369	0.0611066465
370	0.06095461871
371	0.06081669923
372	0.0606730123
373	0.06049667843
374	0.06031731197
375	0.06013005373
376	0.05995296297
377	0.05987008917
378	0.05971977194
379	0.05951662417
380	0.05932262966
381	0.05918064824
382	0.0591111057
383	0.05896554674
384	0.05878096283
385	0.05861344918
386	0.05842412716
387	0.05828580907
388	0.0581577846
389	0.057871641939390	0.05777736442
391	0.057606661739392	0.057442256394393	0.057368722395394	0.057162421396	0.06416952579
397	0.0640485444
398	0.06384238027
399	0.06364109145
400	0.06358223603
401	0.06345278669
402	0.06323631017
403	0.06308103174
404	0.06286677333
405	0.06275344964
406	0.06261745229
407	0.06245791944
408	0.0622552995
409	0.06209367309
410	0.06188970191
411	0.06169123448
412	0.06153362282
413	0.06135205795
414	0.06126242263
415	0.06118926587
416	0.06104405008
417	0.06088230352
418	0.06072976281
419	0.06056838489
420	0.06043629659
421	0.06030469582
422	0.060138101
423	0.06001666668
424	0.05988029125
425	0.05973130669
426	0.05964125052
427	0.05956346316
428	0.05941629221
429	0.0592886546
430	0.05915812578
431	0.05905719483
432	0.05896007795
433	0.05883550518
434	0.05870569035
435	0.05855583327
436	0.05841207756
437	0.05824298532
438	0.0580749908
439	0.05791790127
440	0.05781670862
441	0.0577445458
442	0.05755870764
443	0.05744428245
444	0.05732123141
445	0.05717438632
446	0.05701620661
447	0.05684829639
448	0.05680003267
449	0.05664618034
450	0.05654575831
451	0.05650133005
452	0.05644317038
453	0.05633493904
454	0.0561747293
455	0.05607171612
456	0.05586804752
457	0.0557499756
458	0.05569259976
459	0.05548013295
460	0.05535936293
461	0.05532429715
462	0.05516151199
463	0.05502309334
464	0.05492275938
465	0.05476850885
466	0.05466404502
467	0.05453978994
468	0.05436673328
469	0.0542805717
470	0.05420238047
471	0.05405810578
472	0.05390333186
473	0.05380517134
474	0.05364015234
475	0.05354511203
476	0.05346883255
477	0.0532910459
478	0.05312861302
479	0.05302382459
480	0.05291015617
481	0.0528183776
482	0.05273103022
483	0.0526296671
484	0.05255028315
485	0.05242856071
486	0.05230122757
487	0.05215220967
488	0.05207430719
489	0.05192059955
490	0.05179421757
491	0.05172162572
492	0.05160646451
493	0.05148314926
494	0.05131976019
495	0.05120175684
496	0.05108263184
497	0.05095727148
498	0.05086300996
499	0.05076344787
500	0.05067186997
501500	0.044885786502501	0.044815608503502	0.04476893894
503	0.0446760995
504	0.04453573277
505	0.04440680004
506	0.04431465189
507	0.04422079823
508	0.04417229203
509	0.04408836869
510	0.04405456119
511	0.04394607948
512	0.04381284764
513	0.04374483906
514	0.04367624515
515	0.04359562183
516	0.04349531446
517	0.04335852527
518	0.04329010292
519	0.04320125984
520	0.04314238937
521	0.04303344848
522	0.04296427934
523	0.04283665349
524	0.04272416029
525	0.042654315
526	0.04255476452
527	0.04247543295
528	0.04239795826
529	0.04234166625
530	0.04227094297
531	0.04218285677
532	0.04205365408
533	0.04192627801
534	0.04182712615
535	0.0416943762
536	0.04153796352
537	0.04146549689
538	0.04133098844
539	0.04125247935
